Verein,Stadionname,Strasse,Nr.,PLZ,Stadt,x-Koordinaten,y-Koordinaten
Bayern München,Allianz Arena,Werner-Heisenberg-Allee,25,80939,München,48.2188,11.6247
Bayer Leverkusen,BayArena,Bismarckstrasse ,122-124,51373,Leverkusen,51.038196,7.002292
RB Leipzig,Red Bull Arena,Am Sportforum,1,4105,Leipzig,51.345,12.348
Borussia Dortmund,Signal Iduna Park,Strobelallee,50,44139,Dortmund,51.4926,7.4519
Eintracht Frankfurt,Deutsche Bank Park,Mörfelder Landstraße,362,60528,Frankfurt,50.068,8.6458
TSG 1899 Hoffenheim,PreZero Arena,Horrenberger Straße,58,74939,Zuzenhausen,49.238014,8.887657
1. FSV Mainz 05,MEWA ARENA,Isaac-Fulda-Allee,5,55124,Mainz,49.98415,8.22430
1. FC Union Berlin,Stadion An der Alten Försterei,An der Wuhlheide,263,12555,Berlin,52.4576,13.5681
SC Freiburg,Europa-Park Stadion,Achim-Stocker-Straße,1,79108,Freiburg,48.021536,7.830006
VfL Wolfsburg,Volkswagen Arena,In den Allerwiesen,1,38446,Wolfsburg,52.4323,10.803
Borussia Mönchengladbach,BORUSSIA-PARK,Hennes-Weisweiler-Allee,1,41179,Mönchengladbach,51.1741,6.3855
FC Augsburg,WWK Arena,Bürgermeister-Ulrich-Straße,90,86199,Augsburg,48.323126,10.885996
VfB Stuttgart,MHPArena,Mercedesstraße,109,70372,Stuttgart,48.792,9.2325
Werder Bremen,wohninvest WESERSTADION,Franz-Böhmert-Straße,1c,28205,Bremen,53.066435,8.837661
VfL Bochum,Vonovia Ruhrstadion,Castroper Straße,145,44791,Bochum,51.489919,7.236521
1. FC Heidenheim,Voith-Arena,Schloßhaustraße,162,89522,Heidenheim,48.66829,10.14000
FC St. Pauli,Millerntor-Stadion,Harald-Stender-Platz,1,20359,Hamburg,53.5542,9.9671
Holstein Kiel,Holstein-Stadion,Westring,501,24106,Kiel,54.349167,10.123611
